goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkMarshalSmallStruct   	  379286	       655.7 ns/op	     336 B/op	       3 allocs/op
BenchmarkMarshalSmallStruct   	  357121	       692.0 ns/op	     336 B/op	       3 allocs/op
BenchmarkMarshalSmallStruct   	  358450	       649.1 ns/op	     336 B/op	       3 allocs/op
BenchmarkMarshalSmallStruct   	  332210	       660.2 ns/op	     336 B/op	       3 allocs/op
BenchmarkMarshalSmallStruct   	  316838	       670.7 ns/op	     336 B/op	       3 allocs/op
BenchmarkUnmarshalMediumMap   	   45550	      5355 ns/op	    4368 B/op	     112 allocs/op
BenchmarkUnmarshalMediumMap   	   46779	      5249 ns/op	    4368 B/op	     112 allocs/op
BenchmarkUnmarshalMediumMap   	   44914	      5329 ns/op	    4368 B/op	     112 allocs/op
BenchmarkUnmarshalMediumMap   	   44042	      5351 ns/op	    4368 B/op	     112 allocs/op
BenchmarkUnmarshalMediumMap   	   40354	      5352 ns/op	    4368 B/op	     112 allocs/op
BenchmarkValidMedium          	  441114	       545.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium          	  452330	       540.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium          	  469933	       542.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium          	  453385	       552.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium          	  442479	       545.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetPath              	 1000000	       203.8 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath              	 1210310	       199.4 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath              	 1217880	       198.7 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath              	 1000000	       206.9 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath              	 1000000	       208.4 ns/op	     164 B/op	       2 allocs/op
BenchmarkContainer/10/Get     	  251084	       857.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get     	  311989	       850.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get     	  282249	       853.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get     	  292926	       836.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get     	  285468	       852.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/SearcherDefault         	  581178	       383.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherDefault         	  616594	       382.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherDefault         	  636099	       388.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherDefault         	  632354	       387.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherDefault         	  636224	       389.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	  488259	       485.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	  516640	       492.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	  485156	       492.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	  466290	       484.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	  511197	       482.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/10/LoadAll                 	  177249	      1156 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/10/LoadAll                 	  229467	      1117 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/10/LoadAll                 	  206238	      1141 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/10/LoadAll                 	  222409	      1098 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/10/LoadAll                 	  223911	      1118 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/1000/Get                   	    3094	     76738 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    3158	     76496 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    3121	     76391 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    3254	     78664 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    3151	     77213 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/SearcherDefault       	    6495	     36446 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherDefault       	    6966	     35927 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherDefault       	    6630	     35723 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherDefault       	    6320	     36377 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherDefault       	    6436	     36899 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	    5234	     45512 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	    5313	     45981 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	    5397	     45874 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	    5034	     45495 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	    5380	     45816 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainer/1000/LoadAll               	    2976	     83364 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/1000/LoadAll               	    2830	     82849 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/1000/LoadAll               	    2883	     82770 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/1000/LoadAll               	    2878	     80633 ns/op	     552 B/op	       6 allocs/op
BenchmarkContainer/1000/LoadAll               	    2950	     82390 ns/op	     552 B/op	       6 allocs/op
BenchmarkStringGet/16/Bytes                   	 4957893	        52.00 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 4865144	        51.19 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 4951802	        51.13 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 4890277	        51.01 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 4870126	        51.12 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/String                  	 5993398	        39.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6033457	        38.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6323239	        39.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6068883	        39.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 5975697	        39.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9086028	        26.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9013705	        27.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9102098	        26.94 ns/op	       0 B/op	       0 allocs/op
