goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkMarshalSmallStruct 	  329436	       692.0 ns/op	     496 B/op	       5 allocs/op
BenchmarkMarshalSmallStruct 	  302113	       696.5 ns/op	     496 B/op	       5 allocs/op
BenchmarkMarshalSmallStruct 	  309900	       708.2 ns/op	     496 B/op	       5 allocs/op
BenchmarkMarshalSmallStruct 	  315573	       684.9 ns/op	     496 B/op	       5 allocs/op
BenchmarkMarshalSmallStruct 	  295118	       715.5 ns/op	     496 B/op	       5 allocs/op
BenchmarkUnmarshalMediumMap 	   21040	     11692 ns/op	    4872 B/op	     147 allocs/op
BenchmarkUnmarshalMediumMap 	   20071	     11412 ns/op	    4872 B/op	     147 allocs/op
BenchmarkUnmarshalMediumMap 	   20818	     11311 ns/op	    4872 B/op	     147 allocs/op
BenchmarkUnmarshalMediumMap 	   21146	     11766 ns/op	    4872 B/op	     147 allocs/op
BenchmarkUnmarshalMediumMap 	   20428	     11301 ns/op	    4872 B/op	     147 allocs/op
BenchmarkValidMedium        	  363834	       658.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium        	  379470	       657.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium        	  361386	       659.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium        	  354084	       659.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidMedium        	  356412	       673.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetPath            	 1220073	       196.0 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath            	 1000000	       200.5 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath            	 1216624	       197.7 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath            	 1218537	       199.5 ns/op	     164 B/op	       2 allocs/op
BenchmarkGetPath            	 1204178	       199.7 ns/op	     164 B/op	       2 allocs/op
BenchmarkContainer/10/Get   	  164271	      1366 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get   	  175166	      1434 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get   	  173059	      1361 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get   	  179598	      1353 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/Get   	  182682	      1355 ns/op	     384 B/op	       1 allocs/op
BenchmarkContainer/10/SearcherDefault         	   33172	      7165 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherDefault         	   32986	      7139 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherDefault         	   33966	      7062 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherDefault         	   35008	      7090 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherDefault         	   33463	      7145 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	   35511	      6797 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	   34894	      6833 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	   36244	      6633 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	   36331	      6795 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/SearcherNoValidate      	   34458	      6868 ns/op	   24384 B/op	      86 allocs/op
BenchmarkContainer/10/LoadAll                 	   31021	      7546 ns/op	   24904 B/op	      90 allocs/op
BenchmarkContainer/10/LoadAll                 	   31839	      7568 ns/op	   24904 B/op	      90 allocs/op
BenchmarkContainer/10/LoadAll                 	   30481	      8224 ns/op	   24904 B/op	      90 allocs/op
BenchmarkContainer/10/LoadAll                 	   30556	      7844 ns/op	   24904 B/op	      90 allocs/op
BenchmarkContainer/10/LoadAll                 	   31674	      7515 ns/op	   24904 B/op	      90 allocs/op
BenchmarkContainer/1000/Get                   	    1838	    127397 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    1950	    126594 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    1900	    126357 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    1915	    125101 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/Get                   	    1914	    125805 ns/op	   40960 B/op	       1 allocs/op
BenchmarkContainer/1000/SearcherDefault       	     333	    703282 ns/op	 2277857 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherDefault       	     337	    718674 ns/op	 2277858 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherDefault       	     344	    701264 ns/op	 2277858 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherDefault       	     340	    705778 ns/op	 2277858 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherDefault       	     333	    699890 ns/op	 2277858 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	     361	    676688 ns/op	 2277857 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	     333	    706378 ns/op	 2277860 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	     346	    678473 ns/op	 2277859 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	     362	    678614 ns/op	 2277859 B/op	    8012 allocs/op
BenchmarkContainer/1000/SearcherNoValidate    	     360	    676627 ns/op	 2277859 B/op	    8012 allocs/op
BenchmarkContainer/1000/LoadAll               	     298	    794874 ns/op	 2278380 B/op	    8016 allocs/op
BenchmarkContainer/1000/LoadAll               	     296	    793793 ns/op	 2278380 B/op	    8016 allocs/op
BenchmarkContainer/1000/LoadAll               	     295	    790210 ns/op	 2278380 B/op	    8016 allocs/op
BenchmarkContainer/1000/LoadAll               	     303	    799032 ns/op	 2278380 B/op	    8016 allocs/op
BenchmarkContainer/1000/LoadAll               	     292	    823408 ns/op	 2278380 B/op	    8016 allocs/op
BenchmarkStringGet/16/Bytes                   	 3778507	        65.17 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 3867716	        64.55 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 3739294	        64.56 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 3764641	        65.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 3752606	        64.51 ns/op	       2 B/op	       1 allocs/op
