"mode","benchmark","samples","median_ns_op","cv_pct","min_ns_op","max_ns_op"
"local-default","Container/10/Get","6","1355","20.6","1208","1931"
"local-default","Container/10/LoadAll","6","1719","17.73","1501","2296"
"local-default","Container/10/SearcherDefault","6","559.25","17.12","508.2","771.6"
"local-default","Container/10/SearcherNoValidate","6","683.6","14.48","606.1","857.6"
"local-default","Container/1000/Get","6","129906.5","17.61","108933","168026"
"local-default","Container/1000/LoadAll","6","123314","17.78","105587","162382"
"local-default","Container/1000/SearcherDefault","6","56350","14.1","46405","65015"
"local-default","Container/1000/SearcherNoValidate","6","67626","16.6","56879","87133"
"local-default","DecodeNumbers/Default","6","1079.5","15.35","881.1","1344"
"local-default","DecodeNumbers/UseInt64","6","1024.85","14.96","838.6","1241"
"local-default","DecodeNumbers/UseNumber","6","3627.5","14.27","3115","4443"
"local-default","Encoder/EncodeIntoReuse","6","292.9","8.58","243.5","311.4"
"local-default","Encoder/RootMarshal","6","386.8","9.44","326.9","419.6"
"local-default","Encoder/RootStream","6","272.05","15.21","230.8","343.5"
"local-default","Encoder/StdStream","6","264.55","12.43","211.1","295.7"
"local-default","GetPath","6","289.8","34.43","253.3","564.2"
"local-default","MarshalSmallStruct","6","1094.5","18.67","956.8","1559"
"local-default","PreorderDepth/1024","6","27287","18.75","20659","34531"
"local-default","PreorderDepth/256","6","6096.5","15.54","5302","7949"
"local-default","PreorderDepth/64","6","1463.5","10.94","1155","1558"
"local-default","StringDecoder/PackageDecoder","6","41477.5","15.15","34444","52421"
"local-default","StringDecoder/StdDecoder","6","39792.5","10.29","35805","45033"
"local-default","StringGet/16/Bytes","6","86.58","18.07","70.42","111"
"local-default","StringGet/16/CopyString","6","86.02","10.29","83.81","107.9"
"local-default","StringGet/16/Searcher","6","53.72","6.82","50.72","60.66"
"local-default","StringGet/16/String","6","72.8","18.3","56.31","96.05"
"local-default","StringGet/65536/Bytes","6","89.48","6.67","86.71","103.4"
"local-default","StringGet/65536/CopyString","6","78.88","12.35","65.09","93.97"
"local-default","StringGet/65536/Searcher","6","45.79","11.85","40.39","54.73"
"local-default","StringGet/65536/String","6","70.44","10.81","67.22","88.2"
"local-default","UnmarshalLargeString","6","98474.5","16.67","83577","122083"
"local-default","UnmarshalMediumMap","6","9354.5","23.02","8025","13019"
"local-default","ValidMedium","6","898.5","29.86","761.2","1564"
"local-default","ValidStringLarge","6","1586","12.4","1404","1835"
"local-stdjson","Container/10/Get","6","2357","13.79","2119","2892"
"local-stdjson","Container/10/LoadAll","6","1885.5","6.6","1781","2096"
"local-stdjson","Container/10/SearcherDefault","6","627.7","14.26","571.5","827.7"
"local-stdjson","Container/10/SearcherNoValidate","6","724.6","10.35","659.2","865.3"
"local-stdjson","Container/1000/Get","6","214150","6.85","196382","235177"
"local-stdjson","Container/1000/LoadAll","6","133873","10.75","118960","157762"
"local-stdjson","Container/1000/SearcherDefault","6","55210","6.01","51622","59534"
"local-stdjson","Container/1000/SearcherNoValidate","6","69723","7.39","63323","75680"
"local-stdjson","DecodeNumbers/Default","6","1064.6","12.36","909.7","1225"
"local-stdjson","DecodeNumbers/UseInt64","6","897.25","11.08","822.8","1111"
"local-stdjson","DecodeNumbers/UseNumber","6","3453.5","8.63","3046","3882"
"local-stdjson","Encoder/EncodeIntoReuse","6","282.6","13.85","256.5","368.5"
"local-stdjson","Encoder/RootMarshal","6","379.5","19.53","302","489.6"
